run,iteration,fitness_max,fitness_min,fitness_median,fitness_mean,fitness_std,fitness_max_0,fitness_min_0,fitness_median_0,fitness_mean_0,fitness_std_0,sure_count_0
46,2,0.13003124296665192,0.0033344978000968695,0.03806162625551224,0.05201715603470802,0.03488248959183693,0.13003124296665192,0.0033344978000968695,0.03806162625551224,0.05201715603470802,0.03488248959183693,0
46,3,0.1746397614479065,0.025996027514338493,0.07496076822280884,0.08400196582078934,0.04242882877588272,0.1746397614479065,0.025996027514338493,0.07496076822280884,0.08400196582078934,0.04242882877588272,0
46,4,0.28722599148750305,0.015274268575012684,0.08137201517820358,0.10989638417959213,0.06548035889863968,0.28722599148750305,0.015274268575012684,0.08137201517820358,0.10989638417959213,0.06548035889863968,0
46,5,0.3676164448261261,0.02576114796102047,0.14055342972278595,0.15357349812984467,0.07991408556699753,0.3676164448261261,0.02576114796102047,0.14055342972278595,0.15357349812984467,0.07991408556699753,0
46,6,0.43156003952026367,0.04099554941058159,0.18917563557624817,0.21697847545146942,0.11279800534248352,0.43156003952026367,0.04099554941058159,0.18917563557624817,0.21697847545146942,0.11279800534248352,0
47,0,0.09831464290618896,0.0024670520797371864,0.00802584644407034,0.017215749248862267,0.024933844804763794,0.09831464290618896,0.0024670520797371864,0.00802584644407034,0.017215749248862267,0.024933844804763794,0
47,1,0.11465613543987274,0.004890312906354666,0.02029898390173912,0.035058122128248215,0.031136618927121162,0.11465613543987274,0.004890312906354666,0.02029898390173912,0.035058122128248215,0.031136618927121162,0
47,2,0.13084279000759125,0.006784053985029459,0.05467158555984497,0.06161880865693092,0.035366374999284744,0.13084279000759125,0.006784053985029459,0.05467158555984497,0.06161880865693092,0.035366374999284744,0
47,3,0.20373007655143738,0.0077224113047122955,0.09831464290618896,0.09384103119373322,0.05062955990433693,0.20373007655143738,0.0077224113047122955,0.09831464290618896,0.09384103119373322,0.05062955990433693,0
47,4,0.260111004114151,0.006367197260260582,0.12934130430221558,0.11974474787712097,0.06348106265068054,0.260111004114151,0.006367197260260582,0.12934130430221558,0.11974474787712097,0.06348106265068054,0
47,5,0.30658578872680664,0.012225941754877567,0.14335086941719055,0.14886651933193207,0.08017139881849289,0.30658578872680664,0.012225941754877567,0.14335086941719055,0.14886651933193207,0.08017139881849289,0
47,6,0.37332117557525635,0.015299505554139614,0.2515866160392761,0.21950478851795197,0.11300191283226013,0.37332117557525635,0.015299505554139614,0.2515866160392761,0.21950478851795197,0.11300191283226013,0
48,0,0.10764932632446289,0.0015720728551968932,0.005033455323427916,0.010514910332858562,0.019559694454073906,0.10764932632446289,0.0015720728551968932,0.005033455323427916,0.010514910332858562,0.019559694454073906,0
48,1,0.22716423869132996,0.002991336164996028,0.014030739665031433,0.036162909120321274,0.04817007854580879,0.22716423869132996,0.002991336164996028,0.014030739665031433,0.036162909120321274,0.04817007854580879,0
48,2,0.23608997464179993,0.004977001342922449,0.0776083692908287,0.08845226466655731,0.06656252592802048,0.23608997464179993,0.004977001342922449,0.0776083692908287,0.08845226466655731,0.06656252592802048,0
49,0,0.13139121234416962,0.0017914635827764869,0.005536278244107962,0.01551657635718584,0.025923477485775948,0.13139121234416962,0.0017914635827764869,0.005536278244107962,0.01551657635718584,0.025923477485775948,0
49,1,0.2970584034919739,0.0040536909364163876,0.019238416105508804,0.040848709642887115,0.058682631701231,0.2970584034919739,0.0040536909364163876,0.019238416105508804,0.040848709642887115,0.058682631701231,0
49,2,0.36275988817214966,0.0039993273094296455,0.07862488180398941,0.10626301169395447,0.09509573876857758,0.36275988817214966,0.0039993273094296455,0.07862488180398941,0.10626301169395447,0.09509573876857758,0
49,3,0.3981098234653473,0.02529572881758213,0.20195020735263824,0.20274879038333893,0.11075911670923233,0.3981098234653473,0.02529572881758213,0.20195020735263824,0.20274879038333893,0.11075911670923233,0
49,4,0.421800434589386,0.07923663407564163,0.2809589207172394,0.2555694580078125,0.10278026759624481,0.421800434589386,0.07923663407564163,0.2809589207172394,0.2555694580078125,0.10278026759624481,0
49,5,0.4763818383216858,0.0861622616648674,0.3545195460319519,0.33198028802871704,0.09805405139923096,0.4763818383216858,0.0861622616648674,0.3545195460319519,0.33198028802871704,0.09805405139923096,0
50,0,0.027440369129180908,0.001953652361407876,0.00657450407743454,0.008910248056054115,0.006015925668179989,0.027440369129180908,0.001953652361407876,0.00657450407743454,0.008910248056054115,0.006015925668179989,0
50,1,0.034595757722854614,0.004670725669711828,0.014476574026048183,0.01721647009253502,0.00784019473940134,0.034595757722854614,0.004670725669711828,0.014476574026048183,0.01721647009253502,0.00784019473940134,0
50,2,0.047720201313495636,0.0036630001850426197,0.021699383854866028,0.022519415244460106,0.010948726907372475,0.047720201313495636,0.0036630001850426197,0.021699383854866028,0.022519415244460106,0.010948726907372475,0
50,3,0.12437006086111069,0.005889040883630514,0.0277525894343853,0.03127999231219292,0.023359576240181923,0.12437006086111069,0.005889040883630514,0.0277525894343853,0.03127999231219292,0.023359576240181923,0
50,4,0.12732841074466705,0.0063662296161055565,0.039211925119161606,0.04901174083352089,0.031392958015203476,0.12732841074466705,0.0063662296161055565,0.039211925119161606,0.04901174083352089,0.031392958015203476,0
50,5,0.3948248326778412,0.017937062308192253,0.06637608259916306,0.08824741095304489,0.0762777328491211,0.3948248326778412,0.017937062308192253,0.06637608259916306,0.08824741095304489,0.0762777328491211,0
50,6,0.39829370379447937,0.03928963840007782,0.12370812892913818,0.15432856976985931,0.1084272488951683,0.39829370379447937,0.03928963840007782,0.12370812892913818,0.15432856976985931,0.1084272488951683,0
51,0,0.03977463021874428,0.0007788718212395906,0.0065798209980130196,0.010196173563599586,0.009363594464957714,0.03977463021874428,0.0007788718212395906,0.0065798209980130196,0.010196173563599586,0.009363594464957714,0
51,1,0.17817644774913788,0.0029895238112658262,0.015768691897392273,0.025000175461173058,0.03321206942200661,0.17817644774913788,0.0029895238112658262,0.015768691897392273,0.025000175461173058,0.03321206942200661,0
51,2,0.19319702684879303,0.010500673204660416,0.028941530734300613,0.05545198917388916,0.056056998670101166,0.19319702684879303,0.010500673204660416,0.028941530734300613,0.05545198917388916,0.056056998670101166,0
51,3,0.20559117197990417,0.01214766874909401,0.06930453330278397,0.0811336487531662,0.05780499801039696,0.20559117197990417,0.01214766874909401,0.06930453330278397,0.0811336487531662,0.05780499801039696,0
52,0,0.028474939987063408,0.0028847986832261086,0.005617920774966478,0.008692742325365543,0.006927375681698322,0.028474939987063408,0.0028847986832261086,0.005617920774966478,0.008692742325365543,0.006927375681698322,0
52,1,0.05753687396645546,0.0022835072595626116,0.010427315719425678,0.014518341049551964,0.011590155772864819,0.05753687396645546,0.0022835072595626116,0.010427315719425678,0.014518341049551964,0.011590155772864819,0
52,2,0.12799403071403503,0.00228491285815835,0.02105838991701603,0.02953547053039074,0.028142396360635757,0.12799403071403503,0.00228491285815835,0.02105838991701603,0.02953547053039074,0.028142396360635757,0
52,3,0.12787584960460663,0.01072112750262022,0.04232083633542061,0.05251846835017204,0.029706278815865517,0.12787584960460663,0.01072112750262022,0.04232083633542061,0.05251846835017204,0.029706278815865517,0
52,4,0.22251366078853607,0.0032128572929650545,0.06890574097633362,0.07876625657081604,0.047929778695106506,0.22251366078853607,0.0032128572929650545,0.06890574097633362,0.07876625657081604,0.047929778695106506,0
52,5,0.24589504301548004,0.03914474695920944,0.12047133594751358,0.12304171919822693,0.048991549760103226,0.24589504301548004,0.03914474695920944,0.12047133594751358,0.12304171919822693,0.048991549760103226,0
52,6,0.37535569071769714,0.0065827579237520695,0.13316525518894196,0.15764553844928741,0.09508059918880463,0.37535569071769714,0.0065827579237520695,0.13316525518894196,0.15764553844928741,0.09508059918880463,0
53,0,0.02589135430753231,0.0012433554511517286,0.008385173976421356,0.010442296974360943,0.007317696698009968,0.02589135430753231,0.0012433554511517286,0.008385173976421356,0.010442296974360943,0.007317696698009968,0
53,1,0.0435418039560318,0.005407553166151047,0.01730269566178322,0.020026355981826782,0.009600697085261345,0.0435418039560318,0.005407553166151047,0.01730269566178322,0.020026355981826782,0.009600697085261345,0
53,2,0.05205823853611946,0.011138609610497952,0.023159727454185486,0.026215625926852226,0.009803500026464462,0.05205823853611946,0.011138609610497952,0.023159727454185486,0.026215625926852226,0.009803500026464462,0
53,3,0.12159864604473114,0.010464499704539776,0.034276217222213745,0.04131202772259712,0.02333122491836548,0.12159864604473114,0.010464499704539776,0.034276217222213745,0.04131202772259712,0.02333122491836548,0
53,4,0.1448361575603485,0.014123918488621712,0.045300111174583435,0.0616634339094162,0.034906815737485886,0.1448361575603485,0.014123918488621712,0.045300111174583435,0.0616634339094162,0.034906815737485886,0
53,5,0.2438114732503891,0.016957858577370644,0.09003286808729172,0.0921858698129654,0.048792578279972076,0.2438114732503891,0.016957858577370644,0.09003286808729172,0.0921858698129654,0.048792578279972076,0
53,6,0.2438114732503891,0.01732301525771618,0.11117429286241531,0.12097125500440598,0.05638651177287102,0.2438114732503891,0.01732301525771618,0.11117429286241531,0.12097125500440598,0.05638651177287102,0
53,7,0.35589271783828735,0.028453385457396507,0.18312528729438782,0.1714453101158142,0.08849165588617325,0.35589271783828735,0.028453385457396507,0.18312528729438782,0.1714453101158142,0.08849165588617325,0
54,0,0.10638410598039627,0.002371137263253331,0.006891442462801933,0.013468879275023937,0.019806528463959694,0.10638410598039627,0.002371137263253331,0.006891442462801933,0.013468879275023937,0.019806528463959694,0
54,1,0.22149117290973663,0.004963957238942385,0.024865252897143364,0.05534772574901581,0.0568355955183506,0.22149117290973663,0.004963957238942385,0.024865252897143364,0.05534772574901581,0.0568355955183506,0
54,2,0.25186794996261597,0.012548570521175861,0.13000227510929108,0.12252332270145416,0.07673028856515884,0.25186794996261597,0.012548570521175861,0.13000227510929108,0.12252332270145416,0.07673028856515884,0
54,3,0.3398975729942322,0.016268398612737656,0.17558501660823822,0.1945514976978302,0.0883580818772316,0.3398975729942322,0.016268398612737656,0.17558501660823822,0.1945514976978302,0.0883580818772316,0
54,4,0.46439358592033386,0.018117370083928108,0.21851657330989838,0.2090531438589096,0.12053239345550537,0.46439358592033386,0.018117370083928108,0.21851657330989838,0.2090531438589096,0.12053239345550537,0
55,0,0.059797514230012894,0.0010642128763720393,0.006375940982252359,0.014116519130766392,0.01547283586114645,0.059797514230012894,0.0010642128763720393,0.006375940982252359,0.014116519130766392,0.01547283586114645,0
55,1,0.08473628759384155,0.004921630956232548,0.01937946118414402,0.030332593247294426,0.02246147021651268,0.08473628759384155,0.004921630956232548,0.01937946118414402,0.030332593247294426,0.02246147021651268,0
55,2,0.17317430675029755,0.009028633125126362,0.050448257476091385,0.06085332855582237,0.04123888909816742,0.17317430675029755,0.009028633125126362,0.050448257476091385,0.06085332855582237,0.04123888909816742,0
55,3,0.1907820701599121,0.023625988513231277,0.0994294285774231,0.10007656365633011,0.044413819909095764,0.1907820701599121,0.023625988513231277,0.0994294285774231,0.10007656365633011,0.044413819909095764,0
